CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE
641992,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641964,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641917,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641900,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641884,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,renderDateColumnMenu,476
641858,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641803,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
641907,Structurally dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalProfile/modalProfile.tsx,ModalProfile,561
641779,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalProfile/modalProfile.tsx,<script>,398
642171,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalHistory.tsx,<script>,398
642062,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalHistory.tsx,gnrFirstLog,476
641778,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalHistory.tsx,ModalHistory,561
641848,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/modalConfirmSave.tsx,<script>,398
641919,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/googleMap.tsx,<script>,398
642217,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<anonymous>,476
642192,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<anonymous>,476
642187,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,FatherTable,476
642106,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,renderDateColumnMenu,561
642075,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,renderDateColumnMenu,476
642049,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<anonymous>,476
642039,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<anonymous>,476
642035,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<anonymous>,476
641800,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicTable.tsx,<script>,398
642245,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
642090,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
642029,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<script>,398
641962,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
641922,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
641897,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
641875,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/fatherDynamicModify.tsx,<anonymous>,476
641981,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/confirmModal.tsx,ConfirmModal,476
641977,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/confirmModal.tsx,<script>,398
